source,target,value,step_from,step_to,gse_ids
Attenuated//Inactivated,heat killed BCG SSI (HK),1,2,3,GSE135592
DNA,Influenza H5N1,1,2,3,GSE101747
DNA,Spike,2,2,3,GSE217200;GSE217200
Inactivated,"Agrippal (H3N2, H1N1 and influenza B)",1,2,3,GSE120661
Inactivated,Cal/09 (split),2,2,3,GSE182858;GSE182858
Inactivated,"Fluad (Trivalent flu subunits – H3N2, H1N1 and influenza B MF59)",1,2,3,GSE120661
Inactivated,Heat-killed,4,2,3,GSE178385;GSE178385;GSE157382;GSE157382
Inactivated,Influenza A H1N1,2,2,3,GSE205839;GSE205839
Inactivated,Influenza A H5N8,2,2,3,GSE205839;GSE205839
Inactivated,Influenza A H7N9,2,2,3,GSE205839;GSE205839
Inactivated,Influenza Cal/09 (split),2,2,3,GSE182858;GSE182858
Inactivated,Influenza Quadrivalent 2019-2020 (split),2,2,3,GSE182858;GSE182858
Inactivated,Pandemrix,3,2,3,GSE195600;GSE195600;GSE195600
Inactivated,Quadrivalent 2019-2020 (split),2,2,3,GSE182858;GSE182858
Inactivated,Whole,5,2,3,GSE134647;GSE134647;GSE134647;GSE134647;GSE141729
Infection,Influenza A PR/8,1,2,3,GSE289606
Infection,Whole,3,2,3,GSE154371;GSE164590;GSE111110
Multiple,"Boostrix (diphteria toxoid, tetanus toxoid, inactivated polio, 3 bordetella pertussis)",1,2,3,GSE144218
Multiple,"Pentavac (Diphtheria, tetanus, pertussis (whole cell)",1,2,3,GSE120661
Multiple,haemophilus type b conjugate vaccine),1,2,3,GSE120661
Multiple,hepatitis B (rDNA),1,2,3,GSE120661
NA,Whole,2,2,3,GSE160294;GSE161356
Nanovaccine,CPA162-189-loaded p8-PLGA nanoparticles,2,2,3,GSE134661;GSE134661
No information,NA,1,2,3,GSE173361
Polysaccharide,ACWY,2,2,3,GSE224584;GSE224584
Subunit,Bl-Eng2,2,2,3,GSE198466;GSE198466
Subunit,ED3,1,2,3,GSE154371
Subunit,Env trimer,4,2,3,GSE288450;GSE288450;GSE288450;GSE288450
Subunit,F protein,1,2,3,GSE143617
Subunit,G protein,1,2,3,GSE272499
Subunit,GCP-rCpa1,1,2,3,GSE133140
Subunit,"Menincococcal B (4CMenB (Bexsero®, GlaxoSmithKline)",3,2,3,GSE131914;GSE132199;GSE132199
Subunit,Mycolic acid,1,2,3,GSE226075
Subunit,NIP-OVA,1,2,3,GSE188659
Subunit,Neuraminidase,1,2,3,GSE160010
Subunit,OVA,1,2,3,GSE104337
Subunit,Omp,1,2,3,GSE174849
Subunit,Peptide,1,2,3,GSE198952
Subunit,PorB,1,2,3,GSE104337
Subunit,RBD,1,2,3,GSE261311
Subunit,Spike,1,2,3,GSE176203
Subunit,lsdB,12,2,3,GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543
Subunit,rMDH protein,1,2,3,GSE125765
Toxoid,Tetanus toxin,1,2,3,GSE268421
VLP,Engerix (HBsAg),1,2,3,GSE120661
VLP,GI.1/GII.4,2,2,3,GSE279372;GSE279372
Viral vector,Ag85A,2,2,3,GSE100288;GSE100288
Viral vector,Ag85B-ESAT6-MPT64-Rv2660c,3,2,3,GSE264141;GSE264141;GSE264141
Viral vector,GP,1,2,3,GSE107116
Viral vector,Influenza A/Puerto Rico/8/34 nucleoprotein,4,2,3,GSE198980;GSE198980;GSE198980;GSE198980
Viral vector,MVA,1,2,3,GSE207389
Viral vector,RBD,4,2,3,GSE223476;GSE223476;GSE223476;GSE223476
Viral vector,Spike,7,2,3,GSE282488;GSE282488;GSE173567;GSE223476;GSE223476;GSE223476;GSE223476
Viral vector,Whole,5,2,3,GSE264344;GSE264344;GSE264344;GSE264344;GSE207389
Viral vector,dNS1-RBD,1,2,3,GSE227647
Viral vector,fHbp,2,2,3,GSE139529;GSE139529
mRNA,H5N1,2,2,3,GSE279743;GSE279744
mRNA,LNP,1,2,3,GSE167521
mRNA,M segment,2,2,3,GSE240062;GSE240062
mRNA,OVA,1,2,3,GSE267045
mRNA,Spike,3,2,3,GSE292262;GSE282488;GSE260817
mRNA,Spike + nano STING,1,2,3,GSE155536
mRNA,Spike Omicron,1,2,3,GSE201266
mRNA,Spike Wuhan,1,2,3,GSE201266
mRNA,"Structural proteins, VRPs from VEEV",1,2,3,GSE150847
