gse_id,title,pubmedids,pathogen_type,target_pathogen,target_antigen,vaccine_type,adjuvanted,adjuvant,administration_route,main_sample_source,specific_sample_source,sequencing
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Quadri 2019-2020,IN,No,No,IN,Blood,PBMCs,Bulk
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Quadri 2019-2020,IN,Yes,Addavax,IN,Blood,PBMCs,Bulk
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Quadri 2019-2020,IN,No,No,IN,Lung,NA,Bulk
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Quadri 2019-2020,IN,Yes,Addavax,IN,Lung,NA,Bulk
GSE195600,Molecular characterization of hypothalamus-infiltrating T cells following Pandemrix® vaccination of Orex-HA mice through bulk RNA sequencing of T cell subsets,35552381,Virus,Influenza,Pandemrix,IN,Yes,AS03,IM,Brain,Hypothalami,Bulk
GSE195600,Molecular characterization of hypothalamus-infiltrating T cells following Pandemrix® vaccination of Orex-HA mice through bulk RNA sequencing of T cell subsets,35552381,Virus,Influenza,Pandemrix,IN,Yes,AS03,IM,Lymph node,NA,Bulk
GSE195600,Molecular characterization of hypothalamus-infiltrating T cells following Pandemrix® vaccination of Orex-HA mice through bulk RNA sequencing of T cell subsets,35552381,Virus,Influenza,Pandemrix,IN,Yes,AS03,IM,Spleen,NA,Bulk
GSE198980,Longitudinal transcriptional profiling of CD8 cells in response to infection and vaccination across tissues,36162870,Virus,Influenza,A/Puerto Rico/8/34 NP,VV,NA,NA,IN,Lung,NA,Bulk
GSE198980,Longitudinal transcriptional profiling of CD8 cells in response to infection and vaccination across tissues,36162870,Virus,Influenza,A/Puerto Rico/8/34 NP,VV,NA,NA,SC,Lung,NA,Bulk
GSE198980,Longitudinal transcriptional profiling of CD8 cells in response to infection and vaccination across tissues,36162870,Virus,Influenza,A/Puerto Rico/8/34 NP,VV,NA,NA,IN,Spleen,NA,Bulk
GSE198980,Longitudinal transcriptional profiling of CD8 cells in response to infection and vaccination across tissues,36162870,Virus,Influenza,A/Puerto Rico/8/34 NP,VV,NA,NA,SC,Spleen,NA,Bulk
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],NA,Virus,Influenza,H1N1,IN,NA,NA,IM,Lung,NA,Microarray
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],NA,Virus,Influenza,H1N1,IN,NA,NA,IN,Lung,NA,Microarray
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],NA,Virus,Influenza,H5N8,IN,NA,NA,IM,Lung,NA,Microarray
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],NA,Virus,Influenza,H5N8,IN,NA,NA,IN,Lung,NA,Microarray
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],NA,Virus,Influenza,H7N9,IN,NA,NA,IM,Lung,NA,Microarray
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],NA,Virus,Influenza,H7N9,IN,NA,NA,IN,Lung,NA,Microarray
GSE279743,Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 high-pathogenicity avian influenza virus with reduced adverse reactions (using whole lymph node),39690742,Virus,Influenza,H5N1,RNA,NA,NA,SC or IM,Lymph node,NA,Bulk
GSE279744,Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 high-pathogenicity avian influenza virus with reduced adverse reactions (using dendritic cell of lymph node),39690742,Virus,Influenza,H5N1,RNA,NA,NA,SC or IM,Lymph node,dendritic cells,Bulk
GSE289606,Ectopic germinal centers in the nasal turbinates contribute to B cell immunity to intranasal viral infection and vaccination,40112112,Virus,Influenza,Influenza A PR/8,INF,NA,NA,IN,Respiratory secretion,B cells,Bulk
GSE157382,Subunit vaccine elicited lung TRM cells use fibroblast IL-17R signaling to provide serotype independent immunity against hypervirulent K. pneumoniae,NA,Bacteria,Klebsiella,Whole,IN,NA,NA,IPulm,Lung,NA,Bulk
GSE157382,Subunit vaccine elicited lung TRM cells use fibroblast IL-17R signaling to provide serotype independent immunity against hypervirulent K. pneumoniae,NA,Bacteria,Klebsiella,Whole,IN,NA,NA,IPulm,Spleen,NA,Bulk
GSE174849,Vaccine driven lung TRM cells provide immunity against Klebsiella via fibroblast IL-17R signaling,34516780,Bacteria,Klebsiella,Omp,SU,Yes,LTA1,IPulm,Lung,NA,Bulk
GSE178385,Vaccine driven lung TRM cells provide immunity against Klebsiella via fibroblast IL-17R signaling [scRNA-Seq],34516780; 38594380,Bacteria,Klebsiella,Whole,IN,NA,NA,IN,Lung,NA,scRNAseq
GSE178385,Vaccine driven lung TRM cells provide immunity against Klebsiella via fibroblast IL-17R signaling [scRNA-Seq],34516780; 38594380,Bacteria,Klebsiella,Whole,IN,NA,NA,IN,Spleen,NA,scRNAseq
GSE107116,NK cell regulation of T cells following LCMV infection of vaccinated and unvaccinated mice,29514912,Virus,LCMV,GP,VV,NA,NA,IM,Spleen,NA,Microarray
GSE160294,Vaccine-elicited CD4 T cells prevent the deletion of antiviral B cells in chronic infection,34772811,Virus,LCMV,Whole,NA,NA,NA,IV,Spleen,TCD4,Bulk
GSE161356,Vaccine-elicited CD4 T cells prevent the deletion of antiviral B cells in chronic infection,34772811,Virus,LCMV,Whole,NA,NA,NA,IV,Spleen,TCD4,Bulk
GSE134661,Study of visceral leishmaniasis establishment - Gene expression from (un)infected (non-)vaccinated mouse spleen samples,31849951,Protozoa,Leishmania,CPA162-189-loaded p8-PLGA nanoparticles,SU,NA,NA,No info,Spleen,NA,Microarray
GSE112741,Gene expression in Listeria- or vaccine-elicited T cells,NA,Bacteria,Listeria,Listeria expressing OVA,AT,NA,NA,IV,Skin,NA,Microarray
GSE226075,Mycolic acid nanoparticle vaccination leads to lipid antigen persistence and unique differentiation of mycobacterial-specific T cells,36945395; 37877801,Bacteria,M. tuberculosis,Mycolic acid,SU,NA,NA,ITechal,Lymph node,NA,Bulk
