title,organism,bio_project_accession,id
Impaired innate and adaptive immune responses to BNT162b2 SARS-CoV-2 vaccination in systemic lupus erythematosus,Homo sapiens (9606),PRJNA1051620,1051620
Longitudinal analysis of antigen-specific T cells after Shingrix vaccination,Homo sapiens (9606),PRJNA1049847,1049847
Glioblastoma Molecular Characteristics and Immune Microenvironment Associated with Survival Outcomes in Patients Treated with Dendritic Cell Vaccination,Homo sapiens (9606),PRJNA1048432,1048432
Altered expression of PBMC miRNA profile following the third dose of inactivated COVID-19 vaccine,Homo sapiens (9606),PRJNA1047084,1047084
BCG vaccination impacts the epigenetic landscape of progenitor cells in human bone marrow (scRNA-Seq),Homo sapiens (9606),PRJNA1045667,1045667
Single-cell transcriptome of PBMC response to Omicron breakthrough infection,Homo sapiens (9606),PRJNA1044775,1044775
Enrichment and analysis of circular RNA by Induro RT-mediated circRNA sequencing (IMCR-seq),Homo sapiens (9606),PRJNA1043189,1043189
Non-classical CD45RBlo memory B-cells are the majority of circulating antigen-specific B-cells following mRNA vaccination and COVID-19 infection.,Homo sapiens (9606),PRJNA1038765,1038765
Blood transcriptome profiling reveals distinct gene networks induced by mRNA vaccination against COVID-19,Homo sapiens (9606),PRJNA1037486,1037486
Distinct baseline immune characteristics associated with responses to conjugated and unconjugated pneumococcal polysaccharide vaccines in older adults [bulk RNA-seq],Homo sapiens (9606),PRJNA1037045,1037045
Distinct baseline immune characteristics associated with responses to conjugated and unconjugated pneumococcal polysaccharide vaccines in older adults [scRNA-seq],Homo sapiens (9606),PRJNA1037044,1037044
Systems biology analysis reveals distinct molecular signatures promoting immune responsiveness to the BNT162b COVID-19 vaccine [scRNA-seq],Homo sapiens (9606),PRJNA1035131,1035131
Single-cell immune profiling reveals markers of emergency myelopoiesis that distinguish severe from mild respiratory syncytial virus (RSV) disease in infants,Homo sapiens (9606),PRJNA1033996,1033996
T cell responses in SARS-CoV-2 vaccinees with sustained or declined antibody titer,Homo sapiens (9606),PRJNA1033588,1033588
Systems biology analysis reveals distinct molecular signatures promoting immune responsiveness to the BNT162b COVID-19 vaccine [bulk RNA-seq],Homo sapiens (9606),PRJNA1033573,1033573
AS01-adjuvanted vaccine promotes functional and epigenetic modifications in monocytes [RNA-seq],Homo sapiens (9606),PRJNA1024914,1024914
AS01-adjuvanted vaccine promotes functional and epigenetic modifications in monocytes [scRNA-seq],Homo sapiens (9606),PRJNA1024905,1024905
Single-cell sequencing of 12 PBMC samples to study the different immune response after SARS-CoV-2 vaccines injection,Homo sapiens (9606),PRJNA1021596,1021596
Longitudinal gene expression profiling of self-collected blood samples in COVID-19+ and healthy participants,Homo sapiens (9606),PRJNA1017864,1017864
"Multi-target mode of action of Sulfodyne, a stabilized Sulforaphane, against pathogenic effects of SARS-CoV-2 infection",Homo sapiens (9606),PRJNA1017503,1017503
Determinants of de novo B cell responses to drifted epitopes in post-vaccination SARS-CoV-2 infections data,Homo sapiens (9606),PRJNA1014484,1014484
Global blood miRNA profiling unravels early signatures of immunogenicity of Ebola vaccine rVSVΔG-ZEBOV-GP,Homo sapiens (9606),PRJNA1011984,1011984
Cryptosporidium infection of human small intestinal epithelial cells induces type III interferon expression and impairs the infectivity of live-attenuated rotavirus vaccines [hALI_Cp],Homo sapiens (9606),PRJNA1008720,1008720
Cryptosporidium infection of human small intestinal epithelial cells induces type III interferon expression and impairs the infectivity of live-attenuated rotavirus vaccines [hALI_Ch],Homo sapiens (9606),PRJNA1008719,1008719
Decidual-tissue resident memory T cells protect against nonprimary human cytomegalovirus infection at the maternal-fetal interface,Homo sapiens (9606),PRJNA1005972,1005972
A Replicative Recombinant HPV16 E7 Expression virus upregulates CD36 in C33A cells,Homo sapiens (9606),PRJNA1005193,1005193
Long-term effects of Omicron BA.2 breakthrough infection on immunity-metabolism balance: a 6-month prospective study,Homo sapiens (9606),PRJNA1004627,1004627
Global blood miRNA profiling unravels early signatures of immunogenicity of Ebola vaccine rVSVΔG-ZEBOV-GP,Homo sapiens (9606),PRJNA1004251,1004251
The TLR8 agonist Selgantolimod regulates Kupffer cell differentiation status and indirectly impairs HBV entry into hepatocytes via an IL-6-dependent mechanism (PHH) [Liver],Homo sapiens (9606),PRJNA1004185,1004185
The TLR8 agonist Selgantolimod regulates Kupffer cell differentiation status and indirectly impairs HBV entry into hepatocytes via an IL-6-dependent mechanism (PHH) [Kupffer cells],Homo sapiens (9606),PRJNA1001990,1001990
