geo_sample,subject_id,sex,treatment,tissue,timepoint,animal_replicate,strain,condition
GSM3407213,TriFLU-MF59_MLN_0h_3,Female,Fluad,draining medial iliac lymph nodes (MLN),0,3,CB6F1,Fluad_0_draining medial iliac lymph nodes (MLN)
GSM3407214,TriFLU-MF59_MLN_0h_4,Female,Fluad,draining medial iliac lymph nodes (MLN),0,4,CB6F1,Fluad_0_draining medial iliac lymph nodes (MLN)
GSM3407215,TriFLU-MF59_MLN_0h_5,Female,Fluad,draining medial iliac lymph nodes (MLN),0,5,CB6F1,Fluad_0_draining medial iliac lymph nodes (MLN)
GSM3407216,ENG_MU_0h_1,Female,Engerix B,muscle,0,1,CB6F1,Engerix B_0_muscle
GSM3407217,ENG_MU_0h_2,Female,Engerix B,muscle,0,2,CB6F1,Engerix B_0_muscle
GSM3407218,ENG_MU_0h_3,Female,Engerix B,muscle,0,3,CB6F1,Engerix B_0_muscle
GSM3407219,ENG_MU_0h_4,Female,Engerix B,muscle,0,4,CB6F1,Engerix B_0_muscle
GSM3407220,ENG_MU_0h_5,Female,Engerix B,muscle,0,5,CB6F1,Engerix B_0_muscle
GSM3407221,IFA_MU_0h_1,Female,IFA,muscle,0,1,CB6F1,IFA_0_muscle
GSM3407222,IFA_MU_0h_2,Female,IFA,muscle,0,2,CB6F1,IFA_0_muscle
GSM3407223,IFA_MU_0h_3,Female,IFA,muscle,0,3,CB6F1,IFA_0_muscle
GSM3407224,IFA_MU_0h_4,Female,IFA,muscle,0,4,CB6F1,IFA_0_muscle
GSM3407225,IFA_MU_0h_5,Female,IFA,muscle,0,5,CB6F1,IFA_0_muscle
GSM3407226,LPS_MU_0h_1,Female,LPS,muscle,0,1,CB6F1,LPS_0_muscle
GSM3407227,LPS_MU_0h_2,Female,LPS,muscle,0,2,CB6F1,LPS_0_muscle
GSM3407228,LPS_MU_0h_3,Female,LPS,muscle,0,3,CB6F1,LPS_0_muscle
GSM3407229,LPS_MU_0h_4,Female,LPS,muscle,0,4,CB6F1,LPS_0_muscle
GSM3407230,LPS_MU_0h_5,Female,LPS,muscle,0,5,CB6F1,LPS_0_muscle
GSM3407231,PERT_MU_0h_1,Female,Pentavac SD,muscle,0,1,CB6F1,Pentavac SD_0_muscle
GSM3407232,PERT_MU_0h_2,Female,Pentavac SD,muscle,0,2,CB6F1,Pentavac SD_0_muscle
GSM3407233,PERT_MU_0h_3,Female,Pentavac SD,muscle,0,3,CB6F1,Pentavac SD_0_muscle
GSM3407234,PERT_MU_0h_4,Female,Pentavac SD,muscle,0,4,CB6F1,Pentavac SD_0_muscle
GSM3407235,PERT_MU_0h_5,Female,Pentavac SD,muscle,0,5,CB6F1,Pentavac SD_0_muscle
GSM3407236,PolyIC_MU_0h_1,Female,PolyIC,muscle,0,1,CB6F1,PolyIC_0_muscle
GSM3407237,PolyIC_MU_0h_2,Female,PolyIC,muscle,0,2,CB6F1,PolyIC_0_muscle
GSM3407238,PolyIC_MU_0h_3,Female,PolyIC,muscle,0,3,CB6F1,PolyIC_0_muscle
GSM3407239,PolyIC_MU_0h_4,Female,PolyIC,muscle,0,4,CB6F1,PolyIC_0_muscle
GSM3407240,PolyIC_MU_0h_5,Female,PolyIC,muscle,0,5,CB6F1,PolyIC_0_muscle
GSM3407241,SAL_MU_0h_1,Female,saline,muscle,0,1,CB6F1,saline_0_muscle
GSM3407242,SAL_MU_0h_2,Female,saline,muscle,0,2,CB6F1,saline_0_muscle
GSM3407243,SAL_MU_0h_3,Female,saline,muscle,0,3,CB6F1,saline_0_muscle
GSM3407244,SAL_MU_0h_4,Female,saline,muscle,0,4,CB6F1,saline_0_muscle
GSM3407245,SAL_MU_0h_5,Female,saline,muscle,0,5,CB6F1,saline_0_muscle
GSM3407246,TriFLU_MU_0h_1,Female,Agrippal,muscle,0,1,CB6F1,Agrippal_0_muscle
GSM3407247,TriFLU_MU_0h_2,Female,Agrippal,muscle,0,2,CB6F1,Agrippal_0_muscle
GSM3407248,TriFLU_MU_0h_3,Female,Agrippal,muscle,0,3,CB6F1,Agrippal_0_muscle
GSM3407249,TriFLU_MU_0h_4,Female,Agrippal,muscle,0,4,CB6F1,Agrippal_0_muscle
GSM3407250,TriFLU_MU_0h_5,Female,Agrippal,muscle,0,5,CB6F1,Agrippal_0_muscle
GSM3407251,TriFLU-MF59_MU_0h_1,Female,Fluad,muscle,0,1,CB6F1,Fluad_0_muscle
GSM3407252,TriFLU-MF59_MU_0h_2,Female,Fluad,muscle,0,2,CB6F1,Fluad_0_muscle
GSM3407253,TriFLU-MF59_MU_0h_3,Female,Fluad,muscle,0,3,CB6F1,Fluad_0_muscle
GSM3407254,TriFLU-MF59_MU_0h_4,Female,Fluad,muscle,0,4,CB6F1,Fluad_0_muscle
GSM3407255,TriFLU-MF59_MU_0h_5,Female,Fluad,muscle,0,5,CB6F1,Fluad_0_muscle
GSM3407256,ENG_BL_4h_1,Female,Engerix B,PBMC,4,1,CB6F1,Engerix B_4_PBMC
GSM3407257,ENG_BL_4h_2,Female,Engerix B,PBMC,4,2,CB6F1,Engerix B_4_PBMC
GSM3407258,ENG_BL_4h_3,Female,Engerix B,PBMC,4,3,CB6F1,Engerix B_4_PBMC
GSM3407259,ENG_BL_4h_4,Female,Engerix B,PBMC,4,4,CB6F1,Engerix B_4_PBMC
GSM3407260,ENG_BL_4h_5,Female,Engerix B,PBMC,4,5,CB6F1,Engerix B_4_PBMC
GSM3407261,IFA_BL_4h_1,Female,IFA,PBMC,4,1,CB6F1,IFA_4_PBMC
GSM3407262,IFA_BL_4h_2,Female,IFA,PBMC,4,2,CB6F1,IFA_4_PBMC
GSM3407263,IFA_BL_4h_3,Female,IFA,PBMC,4,3,CB6F1,IFA_4_PBMC
GSM3407264,IFA_BL_4h_4,Female,IFA,PBMC,4,4,CB6F1,IFA_4_PBMC
GSM3407265,IFA_BL_4h_5,Female,IFA,PBMC,4,5,CB6F1,IFA_4_PBMC
GSM3407266,LPS_BL_4h_1,Female,LPS,PBMC,4,1,CB6F1,LPS_4_PBMC
GSM3407267,LPS_BL_4h_2,Female,LPS,PBMC,4,2,CB6F1,LPS_4_PBMC
GSM3407268,LPS_BL_4h_3,Female,LPS,PBMC,4,3,CB6F1,LPS_4_PBMC
GSM3407269,LPS_BL_4h_4,Female,LPS,PBMC,4,4,CB6F1,LPS_4_PBMC
GSM3407270,LPS_BL_4h_5,Female,LPS,PBMC,4,5,CB6F1,LPS_4_PBMC
