Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL16548,"NimbleGen Human ENCODE Tiling Array [Design name: 2007-06-27_MOD_ENCODE_0307_50mer]","in situ oligonucleotide","Homo sapiens",384662,15,3,"Damian Wojtowicz","Feb 16, 2013"
GPL15240,"SMD Print_1162 lc-51","spotted DNA/cDNA","Homo sapiens",38784,61,3,"Michael Griffiths","Feb 14, 2013"
GPL15241,"SMD Print_1188 lc-54","spotted DNA/cDNA","Homo sapiens",38784,36,2,"Michael Griffiths","Feb 14, 2013"
GPL15242,"SMD Print_1370 cpbl","spotted DNA/cDNA","Homo sapiens",49152,70,2,"Michael Griffiths","Feb 14, 2013"
GPL16686,"[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]","in situ oligonucleotide","Homo sapiens",53981,10674,831,"Affymetrix, Inc.","Feb 14, 2013"
GPL16618,"SABiosciences Human miRNome miRNA PCR Array [MAH-3200G]","RT-PCR","Homo sapiens",768,2,1,"Ruth Ruiz-Esparza","Feb 12, 2013"
GPL16619,"Agilent-015539 human custom 244k CGH array","in situ oligonucleotide","Homo sapiens",243504,14,2,"Andy Pang","Feb 12, 2013"
GPL16620,"NimbleGen human 42M CGH array, 1 of 60 [2007-05-18_HG18_Sanger_CGH_01]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
GPL16621,"NimbleGen human 42M CGH array, 2 of 60 [2007-05-18_HG18_Sanger_CGH_02]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
GPL16622,"NimbleGen human 42M CGH array, 3 of 60 [2007-05-18_HG18_Sanger_CGH_03]","in situ oligonucleotide","Homo sapiens",716836,1,2,"Andy Pang","Feb 12, 2013"
GPL16623,"NimbleGen human 42M CGH array, 4 of 60 [2007-05-18_HG18_Sanger_CGH_04]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
