hgnc_symbol,treatment,pathogen,timepoint_comparison,status_original,rank_mouse,rank_human,sign_mouse,sign_concordant,mean_log2fc_mouse,mean_log2fc_human,pred_shared,pred_rank,pred_direction
CDK14,Injury,Burn,Early hours-Day 7,Human only,11.328480436760692,67.15195632393085,1,TRUE,0.14410094749060676,1.0016354646216832,NA,61.55704055693478,0.9971
CEBPA,Injury,Burn,Early hours-Day 7,Human only,1.6833484986351228,81.93812556869882,-1,FALSE,-0.011581099604919487,1.73361674040755,NA,70.51961004753299,0.0020666666666666663
CEBPB,Injury,Burn,Early hours-Day 7,Mouse only,92.67515923566879,50.318471337579616,1,TRUE,1.451223583939523,0.7406783795828549,0.9243349206349206,22.586601204945197,0.8032380952380958
CETN3,Injury,Burn,Early hours-Day 7,Human only,32.39308462238398,20.01819836214741,-1,TRUE,-0.1989632210357808,-0.7887945030078711,NA,59.456250227750594,0.9375341269841272
CLEC4E,Injury,Burn,Early hours-Day 7,Shared,99.68152866242038,87.0336669699727,1,TRUE,2.997468712745782,1.4566978686849632,0.89173735940164,73.18987422729995,1
CLEC5A,Injury,Burn,Early hours-Day 7,Human only,92.40218380345769,98.77161055505005,1,TRUE,2.2155896368697654,2.9588321360525316,0.9626934946060806,86.68397444869697,1
CLEC5A,Injury,Burn,Early hours-Day 7,Shared,92.40218380345769,98.77161055505005,1,TRUE,2.2155896368697654,2.9588321360525316,0.9626934946060806,86.68397444869697,1
CORO2A,Injury,Burn,Early hours-Day 7,Human only,39.4449499545041,70.10919017288444,-1,FALSE,-0.3304462196534672,1.2318188853376064,NA,48.67929552618927,0.24914369954606783
CRTAM,Injury,Burn,Early hours-Day 7,Human only,3.6851683348498634,87.98908098271156,1,FALSE,0.03155260776466218,-1.6373869713652578,NA,86.85868488522502,0.8942
CSF3R,Injury,Burn,Early hours-Day 7,Shared,98.49863512283893,84.0309372156506,1,TRUE,2.533523584224751,2.1084424833467086,0.7386897283088738,74.20707752909644,1
CX3CR1,Injury,Burn,Early hours-Day 7,Human only,59.96360327570519,77.61601455868971,1,FALSE,0.6724892636164146,-1.526022311459145,NA,45.856420484487735,0.8435333333333331
CXCL10,Injury,Burn,Early hours-Day 7,Human only,30.345768880800726,60.464058234758866,-1,TRUE,-0.4022902111211897,-1.209282904506534,NA,74.3940112752188,0.7779238095238092
CXCR3,Injury,Burn,Early hours-Day 7,Shared,79.29936305732484,80.48225659690628,-1,TRUE,-0.9258250927226221,-1.1718096593439937,0.7870641941391943,82.48162227109789,0.9996
CXCR3,Injury,Burn,Early hours-Day 7,Human only,79.29936305732484,80.48225659690628,-1,TRUE,-0.9258250927226221,-1.1718096593439937,0.7870641941391943,82.48162227109789,0.9996
DACH1,Injury,Burn,Early hours-Day 7,Shared,95.26842584167426,96.08735213830755,1,TRUE,2.7487247122649547,2.1095950040240976,0.8569531431531432,72.84747119193386,0.9464333333333335
DENND2D,Injury,Burn,Early hours-Day 7,Human only,59.14467697907189,75.38671519563239,-1,TRUE,-0.4774030167366341,-1.0430265205761025,NA,67.02347870263732,0.9985333333333333
DENND3,Injury,Burn,Early hours-Day 7,Mouse only,79.66333030027297,47.86169244767971,1,TRUE,0.7542005177918707,1.0311919823069262,0.8731126472533614,57.01879856908418,0.39711666666666673
DGAT2,Injury,Burn,Early hours-Day 7,Shared,99.13557779799818,85.75978161965423,1,TRUE,2.1225809245080285,1.6242919894107288,0.7768635059385061,66.37536184604684,0.9457190476190478
DOK3,Injury,Burn,Early hours-Day 7,Human only,26.387625113739766,58.68971792538672,1,TRUE,0.15158592080453914,1.0950981098230228,NA,56.34081175766313,0.3284666666666667
DRAM1,Injury,Burn,Early hours-Day 7,Shared,96.4968152866242,85.25932666060055,1,TRUE,1.80075289475438,1.288463025422336,0.9416476190476191,90.03817460528425,0.8873393217893216
DYSF,Injury,Burn,Early hours-Day 7,Human only,83.21201091901729,96.90627843494084,1,TRUE,1.380041050125456,2.1530168366309974,0.8927078295973032,77.56851029910821,0.7668000276627787
DYSF,Injury,Burn,Early hours-Day 7,Shared,83.21201091901729,96.90627843494084,1,TRUE,1.380041050125456,2.1530168366309974,0.8927078295973032,77.56851029910821,0.7668000276627787
E2F2,Injury,Burn,Early hours-Day 7,Human only,72.24749772520474,81.71064604185622,1,TRUE,0.6246797208036821,1.2752943189426533,NA,52.28833096058593,0.9988333333333334
E2F7,Injury,Burn,Early hours-Day 7,Human only,16.014558689717926,0.4549590536851683,-1,FALSE,-0.2616873640130519,0.4404833675669506,NA,52.42781231177679,0.5660688311688311
EMILIN2,Injury,Burn,Early hours-Day 7,Human only,95.58689717925387,71.92902638762511,1,TRUE,1.3773039632896644,1.2254332056714183,0.8150866124616124,57.73000023997256,0.8639410716734244
EMILIN2,Injury,Burn,Early hours-Day 7,Shared,95.58689717925387,71.92902638762511,1,TRUE,1.3773039632896644,1.2254332056714183,0.8150866124616124,57.73000023997256,0.8639410716734244
ENTPD1,Injury,Burn,Early hours-Day 7,Human only,88.1255686988171,55.59599636032757,1,TRUE,1.1821641851656057,0.8291144365067691,0.98475,55.204183424592394,0.9671994338994341
ENTPD1,Injury,Burn,Early hours-Day 7,Shared,88.1255686988171,55.59599636032757,1,TRUE,1.1821641851656057,0.8291144365067691,0.98475,55.204183424592394,0.9671994338994341
EOMES,Injury,Burn,Early hours-Day 7,Human only,9.281164695177434,96.7242948134668,-1,TRUE,-0.08953658754334448,-2.332086039170494,NA,88.94291333052433,0.9971
EREG,Injury,Burn,Early hours-Day 7,Human only,71.0646041856233,50.81892629663331,-1,FALSE,-1.1805960955858734,1.3801764225504813,NA,60.6150523258434,0.5311750396750395
ETS1,Injury,Burn,Early hours-Day 7,Shared,74.8862602365787,73.06642402183805,-1,TRUE,-0.45773772991073614,-1.185028997423096,0.879973308683061,87.13110637633459,0.2381666666666667
ETS1,Injury,Burn,Early hours-Day 7,Human only,74.8862602365787,73.06642402183805,-1,TRUE,-0.45773772991073614,-1.185028997423096,0.879973308683061,87.13110637633459,0.2381666666666667
F5,Injury,Burn,Early hours-Day 7,Shared,79.34485896269335,98.86260236578708,1,TRUE,0.5115179963178775,2.173646242923475,0.886325765170502,85.35852420730062,0.9350620166671695
F5,Injury,Burn,Early hours-Day 7,Human only,79.34485896269335,98.86260236578708,1,TRUE,0.5115179963178775,2.173646242923475,0.886325765170502,85.35852420730062,0.9350620166671695
FAM20C,Injury,Burn,Early hours-Day 7,Human only,63.19381255686988,58.143767060964514,1,TRUE,0.937704533854161,1.0475059710266486,NA,55.24607740039207,0.8283438278096175
FBP1,Injury,Burn,Early hours-Day 7,Human only,82.93903548680619,28.343949044585987,-1,FALSE,-1.6829604487019036,0.8406871470204296,NA,66.29928066910618,0.3856809523809524
FCER1G,Injury,Burn,Early hours-Day 7,Shared,95.950864422202,95.35941765241128,1,TRUE,1.0059567981695778,1.7685908957186234,0.9922000000000001,85.66542918439039,1
FCER1G,Injury,Burn,Early hours-Day 7,Human only,95.950864422202,95.35941765241128,1,TRUE,1.0059567981695778,1.7685908957186234,0.9922000000000001,85.66542918439039,1
FCER1G,Injury,Burn,Early hours-Day 7,Mouse only,95.950864422202,95.35941765241128,1,TRUE,1.0059567981695778,1.7685908957186234,0.9922000000000001,85.66542918439039,1
FES,Injury,Burn,Early hours-Day 7,Shared,97.90718835304823,82.62056414922657,1,TRUE,2.0425642549463756,1.6337717742847584,0.7820264279066642,72.29979701333184,0.9415870472291313
FES,Injury,Burn,Early hours-Day 7,Mouse only,97.90718835304823,82.62056414922657,1,TRUE,2.0425642549463756,1.6337717742847584,0.7820264279066642,72.29979701333184,0.9415870472291313
FES,Injury,Burn,Early hours-Day 7,Human only,97.90718835304823,82.62056414922657,1,TRUE,2.0425642549463756,1.6337717742847584,0.7820264279066642,72.29979701333184,0.9415870472291313
FFAR2,Injury,Burn,Early hours-Day 7,Human only,72.56596906278435,92.35668789808918,1,TRUE,1.0448054103837023,2.6041484753131865,NA,59.884706074869236,0.9985
FGD4,Injury,Burn,Early hours-Day 7,Shared,86.16924476797088,92.40218380345769,1,TRUE,0.9233683711104952,1.5152163260659242,0.8264987978338599,55.11206528834879,0.7037407821590175
FGD4,Injury,Burn,Early hours-Day 7,Mouse only,86.16924476797088,92.40218380345769,1,TRUE,0.9233683711104952,1.5152163260659242,0.8264987978338599,55.11206528834879,0.7037407821590175
FGR,Injury,Burn,Early hours-Day 7,Shared,98.45313921747044,87.44313011828936,1,TRUE,2.112332579287301,1.4096534100009421,0.943703990144702,37.77805519785722,0.879033906959913
FGR,Injury,Burn,Early hours-Day 7,Mouse only,98.45313921747044,87.44313011828936,1,TRUE,2.112332579287301,1.4096534100009421,0.943703990144702,37.77805519785722,0.879033906959913
FPR1,Injury,Burn,Early hours-Day 7,Mouse only,99.45404913557779,50.68243858052776,1,TRUE,3.1165541551853195,0.7994770864546297,0.6862571692849565,32.56422403426079,1
FPR1,Injury,Burn,Early hours-Day 7,Shared,99.45404913557779,50.68243858052776,1,TRUE,3.1165541551853195,0.7994770864546297,0.6862571692849565,32.56422403426079,1
FZD5,Injury,Burn,Early hours-Day 7,Human only,85.48680618744314,86.53321201091902,-1,FALSE,-1.0075248847110245,1.5232367245149678,NA,56.895835399515434,0.5692243145743147
G0S2,Injury,Burn,Early hours-Day 7,Mouse only,95.08644222020018,91.99272065514104,1,TRUE,1.7263848227577316,2.4047011727526337,0.8824995876672348,83.12034189666704,1
G0S2,Injury,Burn,Early hours-Day 7,Shared,95.08644222020018,91.99272065514104,1,TRUE,1.7263848227577316,2.4047011727526337,0.8824995876672348,83.12034189666704,1
GATA3,Injury,Burn,Early hours-Day 7,Shared,94.3130118289354,96.9972702456779,-1,TRUE,-1.9644114690336156,-2.225490080649148,0.9632613975893388,92.17208591251888,0.9418131769294081
GCA,Injury,Burn,Early hours-Day 7,Shared,97.5887170154686,31.48316651501365,1,TRUE,2.1376404598907888,0.7000230340875842,0.844386442315854,66.2926788178191,0.7797306264650383
GGH,Injury,Burn,Early hours-Day 7,Shared,94.8589626933576,63.05732484076433,1,TRUE,1.222289079461115,1.256597923737754,0.7514695817639383,66.77467783892342,0.4543428571428571
GIMAP7,Injury,Burn,Early hours-Day 7,Human only,84.80436760691538,69.10828025477707,-1,TRUE,-0.7995128015391018,-1.138163188079763,0.799054940135544,74.7098818694515,0.9808666666666668
GIMAP7,Injury,Burn,Early hours-Day 7,Shared,84.80436760691538,69.10828025477707,-1,TRUE,-0.7995128015391018,-1.138163188079763,0.799054940135544,74.7098818694515,0.9808666666666668
GNA15,Injury,Burn,Early hours-Day 7,Human only,3.776160145586897,52.91173794358508,1,TRUE,0.03899740814922481,0.9247502222940276,NA,40.36480662843053,0.4381190476190476
GNAI2,Injury,Burn,Early hours-Day 7,Shared,85.07734303912648,34.34940855323021,1,TRUE,0.4975409959162924,1.0225342360990153,0.7652420935789358,63.583046817557054,0.9833666666666667
GNAI2,Injury,Burn,Early hours-Day 7,Human only,85.07734303912648,34.34940855323021,1,TRUE,0.4975409959162924,1.0225342360990153,0.7652420935789358,63.583046817557054,0.9833666666666667
GNB2,Injury,Burn,Early hours-Day 7,Shared,65.9690627843494,69.69972702456779,1,TRUE,0.5419018237169766,1.8323058335497526,0.7064435930735928,76.00458829445245,0.24358715263231395
GNB2,Injury,Burn,Early hours-Day 7,Human only,65.9690627843494,69.69972702456779,1,TRUE,0.5419018237169766,1.8323058335497526,0.7064435930735928,76.00458829445245,0.24358715263231395
GPR171,Injury,Burn,Early hours-Day 7,Mouse only,87.98908098271156,52.95723384895359,-1,TRUE,-0.7082205388072218,-1.3252137938985626,0.8339698123860556,74.57817853851905,1
GPR171,Injury,Burn,Early hours-Day 7,Shared,87.98908098271156,52.95723384895359,-1,TRUE,-0.7082205388072218,-1.3252137938985626,0.8339698123860556,74.57817853851905,1
GPR18,Injury,Burn,Early hours-Day 7,Mouse only,85.44131028207461,92.629663330300275,-1,TRUE,-0.6468383850462409,-2.1168492696326653,0.4892252525252524,67.42901430162985,0.9989333333333333
