MM.Entrez,row,EffectSize,condition
11430,11430,-0.014107709141789382,Fluad_168_PBMC
11431,11431,-0.06602100490983176,Fluad_4_PBMC
11431,11431,0.007885159653582718,Fluad_8_PBMC
11431,11431,0.04141184268648912,Fluad_24_PBMC
11431,11431,0.004827404737425489,Fluad_48_PBMC
11431,11431,0.04695166443348153,Fluad_72_PBMC
11431,11431,-0.04211617621759789,Fluad_168_PBMC
11432,11432,0.08838813675764312,Fluad_4_PBMC
11432,11432,0.15828384508980342,Fluad_8_PBMC
11432,11432,0.0011394103974344816,Fluad_24_PBMC
11432,11432,0.029261775064090223,Fluad_48_PBMC
11432,11432,0.044803530075584685,Fluad_72_PBMC
11432,11432,-0.037479557947585285,Fluad_168_PBMC
11433,11433,-0.009510038688662181,Fluad_4_PBMC
11433,11433,-0.025850567228665522,Fluad_8_PBMC
11433,11433,-0.04209492405365811,Fluad_24_PBMC
11433,11433,-0.0335864889677735,Fluad_48_PBMC
11433,11433,-0.047355444684022974,Fluad_72_PBMC
11433,11433,-0.015675013493611445,Fluad_168_PBMC
11434,11434,-0.2845893263151331,Fluad_4_PBMC
11434,11434,-0.21072328041887278,Fluad_8_PBMC
11434,11434,0.04812097717139574,Fluad_24_PBMC
11434,11434,0.039908965841111144,Fluad_48_PBMC
11434,11434,-0.12523072417791736,Fluad_72_PBMC
11434,11434,0.05144034531198649,Fluad_168_PBMC
11435,11435,-0.12236543567867852,Fluad_4_PBMC
11435,11435,0.21357169145845623,Fluad_8_PBMC
11435,11435,0.15845707510201423,Fluad_24_PBMC
11435,11435,-0.3471178813041038,Fluad_48_PBMC
11435,11435,-0.2590366699478781,Fluad_72_PBMC
11435,11435,0.03445717097412038,Fluad_168_PBMC
11438,11438,-0.0337464411859143,Fluad_4_PBMC
11438,11438,0.045198488768871226,Fluad_8_PBMC
11438,11438,0.15212063218076466,Fluad_24_PBMC
11438,11438,0.17340599739509077,Fluad_48_PBMC
11438,11438,0.20973245584299383,Fluad_72_PBMC
11438,11438,0.08805307439264398,Fluad_168_PBMC
11440,11440,0.033651557716718905,Fluad_4_PBMC
11440,11440,0.20759613288339773,Fluad_8_PBMC
11440,11440,0.19279578296625122,Fluad_24_PBMC
11440,11440,0.09352627438587335,Fluad_48_PBMC
11440,11440,0.1853798520649641,Fluad_72_PBMC
11440,11440,-0.07514402114465835,Fluad_168_PBMC
11441,11441,0.04439388199854255,Fluad_4_PBMC
11441,11441,-0.007845563954945511,Fluad_8_PBMC
11441,11441,-0.09560061747339255,Fluad_24_PBMC
11441,11441,0.043661661358434856,Fluad_48_PBMC
11441,11441,0.13909286102775464,Fluad_72_PBMC
11441,11441,-0.07986038086312375,Fluad_168_PBMC
11443,11443,-0.0374888800917208,Fluad_4_PBMC
11443,11443,0.016159483631274174,Fluad_8_PBMC
